"","Year","Points.x","From","To","Jury","Draw","Artist","Song","Language","Place","Points.y","Type","track.album.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.name","key_name","mode_name","track.album.release_date","repeat_artist","NPoints"
"7895",2018,10,"Estonia","Finland","T",17,"saara aalto","""Monsters""","English",25,46,"f","Monsters",0.581,0.731,"C minor",-4.482,0,0.0387,0.0103,0,0.0602,0.272,121.931,180586,"Monsters","C","minor","2018-02-09",0,5
"7896",2018,3,"Estonia","Hungary","T",13,"aws","""Viszlát nyár""","Hungarian",10,111,"sf2","Viszlát nyár (Eurovision Song Contest 2018)",0.345,0.937,"D# minor",-3.517,0,0.0583,3.42e-05,0,0.133,0.427,164.023,178174,"Viszlát nyár (Eurovision Song Contest 2018)","D#","minor","2018-03-09",0,1.5
"7897",2018,3,"Estonia","Hungary","T",21,"aws","""Viszlát nyár""","Hungarian",21,93,"f","Viszlát nyár (Eurovision Song Contest 2018)",0.345,0.937,"D# minor",-3.517,0,0.0583,3.42e-05,0,0.133,0.427,164.023,178174,"Viszlát nyár (Eurovision Song Contest 2018)","D#","minor","2018-03-09",0,1.5
"7898",2018,7,"Estonia","Italy","T",26,"ermal meta & fabrizio moro","""Non mi avete fatto niente""","Italian",5,308,"f","Non mi avete fatto niente (ESC Version)",0.573,0.88,"F# major",-4.91,1,0.046,0.336,0,0.159,0.762,90.018,182045,"Non mi avete fatto niente - ESC Version","F#","major","2018-03-30",0,3.5
"7899",2018,12,"Estonia","Lithuania","T",6,"ieva zasimauskaite","""When We're Old""","English",9,119,"sf1","When We're Old",0.357,0.262,"A# major",-12.828,1,0.0375,0.842,0.00794,0.142,0.0804,179.091,179500,"When We're Old","A#","major","2018-03-15",0,6
"7900",2018,12,"Estonia","Lithuania","T",4,"ieva zasimauskaite","""When We're Old""","English",12,181,"f","When We're Old",0.357,0.262,"A# major",-12.828,1,0.0375,0.842,0.00794,0.142,0.0804,179.091,179500,"When We're Old","A#","major","2018-03-15",0,6
"7901",2018,1,"Estonia","Moldova","T",7,"doredos","""My Lucky Day""","English",3,235,"sf2","My Lucky Day",0.735,0.874,"B minor",-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,183934,"My Lucky Day","B","minor","2018-04-06",0,0.5
"7902",2018,1,"Estonia","Moldova","T",19,"doredos","""My Lucky Day""","English",10,209,"f","My Lucky Day",0.735,0.874,"B minor",-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,183934,"My Lucky Day","B","minor","2018-04-06",0,0.5
"7903",2018,12,"North Macedonia","Albania","T",3,"eugent bushpepa","""Mall""","Albanian",8,162,"sf1","Mall",0.322,0.807,"E major",-4.468,1,0.0368,0.0106,0,0.168,0.493,189.743,190491,"Mall","E","major","2018-04-06",0,6
"7904",2018,12,"North Macedonia","Albania","T",12,"eugent bushpepa","""Mall""","Albanian",11,184,"f","Mall",0.322,0.807,"E major",-4.468,1,0.0368,0.0106,0,0.168,0.493,189.743,190491,"Mall","E","major","2018-04-06",0,6
"7905",2018,7,"North Macedonia","Bulgaria","T",10,"equinox","""Bones""","English",7,177,"sf1","Bones",0.477,0.661,"F# minor",-6.952,0,0.048,0.137,3.17e-05,0.111,0.496,87.965,179659,"Bones","F#","minor","2018-05-04",0,3.5
"7906",2018,7,"North Macedonia","Bulgaria","T",18,"equinox","""Bones""","English",14,166,"f","Bones",0.477,0.661,"F# minor",-6.952,0,0.048,0.137,3.17e-05,0.111,0.496,87.965,179659,"Bones","F#","minor","2018-05-04",0,3.5
"7907",2018,8,"North Macedonia","Cyprus","T",19,"eleni foureira","""Fuego""","English",2,262,"sf1","Fuego",0.589,0.758,"B minor",-4.578,0,0.117,0.0648,0,0.606,0.589,101.037,183675,"Fuego","B","minor","2018-03-09",0,4
"7908",2018,8,"North Macedonia","Cyprus","T",25,"eleni foureira","""Fuego""","English",2,436,"f","Fuego",0.589,0.758,"B minor",-4.578,0,0.117,0.0648,0,0.606,0.589,101.037,183675,"Fuego","B","minor","2018-03-09",0,4
"7909",2018,5,"North Macedonia","Czech Republic","T",5,"mikolas josef","""Lie to Me""","English",3,232,"sf1","Lie to Me (ESC Version)",0.831,0.702,"F# minor",-6.448,0,0.123,0.00401,3.43e-06,0.359,0.639,106.013,171066,"Lie to Me - ESC Version","F#","minor","2018-04-13",0,2.5
"7910",2018,5,"North Macedonia","Czech Republic","T",14,"mikolas josef","""Lie to Me""","English",6,281,"f","Lie to Me (ESC Version)",0.831,0.702,"F# minor",-6.448,0,0.123,0.00401,3.43e-06,0.359,0.639,106.013,171066,"Lie to Me - ESC Version","F#","minor","2018-04-13",0,2.5
"7911",2018,3,"North Macedonia","Israel","T",7,"netta","""Toy""","English",1,283,"sf1","Toy (Music Video Version)",0.56,0.746,"D# minor",-5.384,0,0.111,0.1,0,0.321,0.743,130.037,180230,"Toy - Music Video Version","D#","minor","2018-03-15",0,1.5
"7912",2018,3,"North Macedonia","Israel","T",22,"netta","""Toy""","English",1,529,"f","Toy (Music Video Version)",0.56,0.746,"D# minor",-5.384,0,0.111,0.1,0,0.321,0.743,130.037,180230,"Toy - Music Video Version","D#","minor","2018-03-15",0,1.5
"7913",2018,6,"North Macedonia","Italy","T",26,"ermal meta & fabrizio moro","""Non mi avete fatto niente""","Italian",5,308,"f","Non mi avete fatto niente (ESC Version)",0.573,0.88,"F# major",-4.91,1,0.046,0.336,0,0.159,0.762,90.018,182045,"Non mi avete fatto niente - ESC Version","F#","major","2018-03-30",0,3
"7914",2018,1,"North Macedonia","Moldova","T",7,"doredos","""My Lucky Day""","English",3,235,"sf2","My Lucky Day",0.735,0.874,"B minor",-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,183934,"My Lucky Day","B","minor","2018-04-06",0,0.5
"7915",2018,1,"North Macedonia","Moldova","T",19,"doredos","""My Lucky Day""","English",10,209,"f","My Lucky Day",0.735,0.874,"B minor",-4.891,0,0.0709,0.00816,1.61e-06,0.325,0.818,122.002,183934,"My Lucky Day","B","minor","2018-04-06",0,0.5
"7916",2018,10,"North Macedonia","Serbia","T",3,"sanja ilic & balkanika","""Nova deca"" (Нова деца)","Serbian",9,117,"sf2","Nova Deca",0.383,0.874,"B minor",-4.02,0,0.111,0.0757,3.65e-05,0.301,0.301,125.19,189120,"Nova Deca","B","minor","2018-04-11",0,5
